question_set,position,amount_sooner,time_sooner,amount_later,time_later
1,1,1,2,1.5,3
1,2,0.67,0,2.67,1
1,3,1000,2,1010,3
1,4,0.17,0,0.67,2
1,5,20,0,30,2
1,6,16.67,0,66.67,2
1,7,2.5,0,7.5,2
1,8,10,0,11,2
1,9,0.25,0,0.75,2
1,10,0.05,0,0.15,2
1,11,8,0,10,1
1,12,4000,2,5000,4
1,13,0.5,1,1,4
1,14,1000,0,2000,3
1,15,20,1,22,4
1,16,200,1,250,2
1,17,0.5,1,1,4
1,18,2000,2,2100,3
1,19,100,2,105,3
1,20,1000,0,2000,2
1,21,0.33,1,1.33,4
1,22,0.17,0,0.67,1
1,23,1,1,2,3
1,24,333.33,0,1333.33,3
1,25,500,0,550,3